title,views,video_link,date_time,thumbnail_link
Go Ad Free with GeeksforGeeks Premium | 0 Ads in all GeeksforGeeks Content | 100% Distraction free,3.7K views,/watch?v=DoXFPztXGyM,2 months ago,https://i.ytimg.com/vi/DoXFPztXGyM/hqdefault.jpg
"35+ Courses only with GeeksforGeeks Premium | DSA, Languages, Front-end, App Development & more!",57K views,/watch?v=UvNQUwuN9Ss,2 months ago,https://i.ytimg.com/vi/UvNQUwuN9Ss/hqdefault.jpg
GeeksforGeeks Premium | Explore All Features | Choose your Plan starting from INR 749,8.7K views,/watch?v=kBN7AZ0MRgI,2 months ago,https://i.ytimg.com/vi/kBN7AZ0MRgI/hqdefault.jpg
From Tier 3 College to working as a Senior SDE with 400% HIKE | Dream Job Diaries Podcast EP-2,1.4K views,/watch?v=lWrzQFqgTcY,2 months ago,https://i.ytimg.com/vi/lWrzQFqgTcY/hqdefault.jpg
Crack any companies Aptitude round with this Strategy | *Free Resources Inside*,3.6K views,/watch?v=loPvFZXUcNw,2 months ago,https://i.ytimg.com/vi/loPvFZXUcNw/hqdefault.jpg
Crack Off-Campus Placement before 2025 with this Strategy,4.2K views,/watch?v=rQs1n2ERSvk,2 months ago,https://i.ytimg.com/vi/rQs1n2ERSvk/hqdefault.jpg
"GeeksforGeeks Premium | 35+ Courses, Ad-Free Learning, A.I. Bot, Text Summarisation & more",57K views,/watch?v=P_ZxK9dTyeA,2 months ago,https://i.ytimg.com/vi/P_ZxK9dTyeA/hqdefault.jpg
Master Competitive Programming with this RoadMap | *Free Resources Inside*,5.3K views,/watch?v=lozDmn15zcw,2 months ago,https://i.ytimg.com/vi/lozDmn15zcw/hqdefault.jpg
These Projects give you an UNFAIR ADVANTAGE | Get Placed in 2024,5.9K views,/watch?v=KY73lTNeWzI,3 months ago,https://i.ytimg.com/vi/KY73lTNeWzI/hqdefault.jpg
"I went to the House of a Google Project Manager | Life at Google |Project Management Roadmap, Salary",336K views,/watch?v=cC8MjoYGedk,3 months ago,https://i.ytimg.com/vi/cC8MjoYGedk/hqdefault.jpg
Is the Tech Recession finally over? | Massive Tech Layoffs & Recession | How to get a job in 2024?,5.3K views,/watch?v=wolOoIsBnew,3 months ago,https://i.ytimg.com/vi/wolOoIsBnew/hqdefault.jpg
Master Software Testing & Automation | Career in Testing | GeeksforGeeks,993 views,/watch?v=b3uovZLWkVM,3 months ago,https://i.ytimg.com/vi/b3uovZLWkVM/hqdefault.jpg
🚀 Please Watch this Video if you are a College Student | Get Placed in 2024,2.5K views,/watch?v=9Fx3wGat0Fg,3 months ago,https://i.ytimg.com/vi/9Fx3wGat0Fg/hqdefault.jpg
Python Fundamentals and its Applications with GeeksforGeeks,3.5K views,/watch?v=qzyTwGpDYog,3 months ago,https://i.ytimg.com/vi/qzyTwGpDYog/hqdefault.jpg
(Not Clickbait) Learn Recursion in just 300 seconds 😮 | DSA Made Simple,1.5K views,/watch?v=Bi_rfJLf-jA,3 months ago,https://i.ytimg.com/vi/Bi_rfJLf-jA/hqdefault.jpg
From Tier 3 College to 20LPA Package 🤑 at Harman as a Senior Software Engineer | My Journey,5.4K views,/watch?v=cGPpUdaISGE,3 months ago,https://i.ytimg.com/vi/cGPpUdaISGE/hqdefault.jpg
How I Built an AirBnb Clone from Scratch | MERN Stack Project | GeeksforGeeks,5.6K views,/watch?v=koTBLYNq63I,3 months ago,https://i.ytimg.com/vi/koTBLYNq63I/hqdefault.jpg
"Master Web3 in 2024 (The Ultimate Roadmap) | Block Chain, Crypto Currency |",1.8K views,/watch?v=CKrM5ouILBg,3 months ago,https://i.ytimg.com/vi/CKrM5ouILBg/hqdefault.jpg
🚀 Do This to Learn DSA and Get a Job | *Free Resources Inside* | The Ultimate DSA Roadmap 📚,4.3K views,/watch?v=VdLUuIeuXqM,3 months ago,https://i.ytimg.com/vi/VdLUuIeuXqM/hqdefault.jpg
"Sorting Algorithms Full Course | Bubble, Selection, Insertion Sort & More | DSA Free Videos Complete",9.7K views,/watch?v=IsBMyMch0gw,4 months ago,https://i.ytimg.com/vi/IsBMyMch0gw/hqdefault.jpg
"IIT Grads reveal TOP PLACEMENT SECRETS 🤯 | Advice, Get Job in 2024, Salary, Roadmap, Life at IIT",11K views,/watch?v=HqqF_4yORKU,4 months ago,https://i.ytimg.com/vi/HqqF_4yORKU/hqdefault.jpg
I Went to the House of a Recent IIT BOMBAY Grad & AI Researcher at Sprinklr | House Invasion Ep-1🚀,16K views,/watch?v=xvBlkjtmvBc,4 months ago,https://i.ytimg.com/vi/xvBlkjtmvBc/hqdefault.jpg
Time and Space Complexity explained in literally 5 minutes | Big O | Concepts made simple ep -1,9.2K views,/watch?v=jOMxKsUd6e0,4 months ago,https://i.ytimg.com/vi/jOMxKsUd6e0/hqdefault.jpg
"JAVA Backend Live Classes | Master OOPs, Spring Boot & Practice with Projects | GeeksforGeeks",1M views,/watch?v=y5sN2D4Zkmo,4 months ago,https://i.ytimg.com/vi/y5sN2D4Zkmo/hqdefault.jpg
How to participate and win any Hackathon - A Complete Guide | What are Hackathons? | Top 5 Hackathon,4K views,/watch?v=_yNtUwnvHio,4 months ago,https://i.ytimg.com/vi/_yNtUwnvHio/hqdefault.jpg
Do this to get a 15+ LPA job right after BCA!! | BCA VS BTECH | Is BCA worth it in 2024?,2.1K views,/watch?v=w95555WsTMI,4 months ago,https://i.ytimg.com/vi/w95555WsTMI/hqdefault.jpg
Happening this Month at GeeksforGeeks Noida Center! | GfG Offline Classes,708 views,/watch?v=ZTvTaINuLGk,4 months ago,https://i.ytimg.com/vi/ZTvTaINuLGk/hqdefault.jpg
GeeksforGeeks Full Stack LIVE Classes | With Projects | Learn Full Stack Development in 14 Weeks,208K views,/watch?v=G5lsLsK9evc,4 months ago,https://i.ytimg.com/vi/G5lsLsK9evc/hqdefault.jpg
Do this to crack Placements in just 30 days | *Free Resources*,24K views,/watch?v=zicelfDj-i8,4 months ago,https://i.ytimg.com/vi/zicelfDj-i8/hqdefault.jpg
💸 How to become a Graphic Designer in 2024? | Complete Graphic Designer Roadmap,884 views,/watch?v=GF2CQAP4Va0,4 months ago,https://i.ytimg.com/vi/GF2CQAP4Va0/hqdefault.jpg
DYNAMIC PROGRAMMING PRACTICE PROBLEM | DSA Course | GeeksforGeeks,1.3K views,/watch?v=5Bfjt3oY564,4 months ago,https://i.ytimg.com/vi/5Bfjt3oY564/hqdefault.jpg
Can these College students win 6000rs by answering easy coding questions?| GeeksforGeeks Premium,1.8K views,/watch?v=JtLJyMeHxLk,4 months ago,https://i.ytimg.com/vi/JtLJyMeHxLk/hqdefault.jpg
Create a 3D AI Website using Three.js | Frontend Projects | GeeksforGeeks,3.6K views,/watch?v=rq67tD6OYXc,4 months ago,https://i.ytimg.com/vi/rq67tD6OYXc/hqdefault.jpg
React Native VS Flutter | I analysed the app development market for both,2.6K views,/watch?v=2keMefdv9s4,4 months ago,https://i.ytimg.com/vi/2keMefdv9s4/hqdefault.jpg
Quick Sort: Auxiliary Space Explained in 8 Minutes! | Lecture - 25 | GeeksforGeeks,731 views,/watch?v=47dzZ_58vIw,4 months ago,https://i.ytimg.com/vi/47dzZ_58vIw/hqdefault.jpg
Learn QUICK SORT ANALYSIS in 10 MINUTES | Lecture - 24 | GeeksforGeeks,734 views,/watch?v=8VYD2q8dDFU,5 months ago,https://i.ytimg.com/vi/8VYD2q8dDFU/hqdefault.jpg
Top Interview Tips for Fresh Graduates in 2024 | GeeksforGeeks,3.2K views,/watch?v=aoBD3t-bFLo,5 months ago,https://i.ytimg.com/vi/aoBD3t-bFLo/hqdefault.jpg
GeeksforGeeks Classroom Program | Noida | Pune | Bengaluru,1.2K views,/watch?v=zPHy8Ruso5k,5 months ago,https://i.ytimg.com/vi/zPHy8Ruso5k/hqdefault.jpg
Is Engineering (B.Tech) Worth it in 2024? | Harsh Reality,1.5K views,/watch?v=Qt1xh3R_1_Y,5 months ago,https://i.ytimg.com/vi/Qt1xh3R_1_Y/hqdefault.jpg
Hoare Partition Quick Sort - PART II | Sorting Playlist | Lecture - 23 | GeeksforGeeks,563 views,/watch?v=pNDNomHBDZk,5 months ago,https://i.ytimg.com/vi/pNDNomHBDZk/hqdefault.jpg
Why you will never become a Programmer? | Placements | Honest reality | GfG,5K views,/watch?v=pM1sSCio0WE,5 months ago,https://i.ytimg.com/vi/pM1sSCio0WE/hqdefault.jpg
Learn Lomuto Partition in Quick Sort | Lecture - 22 | GeeksforGeeks,792 views,/watch?v=R-LMKBKPTok,5 months ago,https://i.ytimg.com/vi/R-LMKBKPTok/hqdefault.jpg
How I would learn Data Engineering in 2024 (If I could start over) | Complete Roadmap |,1.7K views,/watch?v=XTbyBW8Yh9U,5 months ago,https://i.ytimg.com/vi/XTbyBW8Yh9U/hqdefault.jpg
Introduction to Quick Sort | Sorting Playlist | Lecture - 21 | GeeksforGeeks,1.8K views,/watch?v=SN8jC7Nb-Os,5 months ago,https://i.ytimg.com/vi/SN8jC7Nb-Os/hqdefault.jpg
Big Companies vs Startups | Which one should you choose in 2024? | Startups | MNC'S,999 views,/watch?v=gkCKp0BgAy4,5 months ago,https://i.ytimg.com/vi/gkCKp0BgAy4/hqdefault.jpg
