Brand,Model,Mileage,Year,Price
Chrysler,200,96307,2013,5500.0
Dodge,Charger,51932,2022,23398.0
Hyundai,Sonata,69739,2017,8995.0
Ford,Edge,126622,2017,9900.0
Kia,Soul,92488,2020,9236.0
Audi,Q5,63692,2019,13979.0
INFINITI,Q50,52867,2019,15800.0
BMW,X4,31643,2024,31988.0
Jeep,Grand Cherokee,55799,2019,19177.0
Nissan,Altima,66083,2021,13688.0
Ford,Ranger,82952,2019,16995.0
Dodge,Durango,44809,2021,23156.0
Subaru,Forester,115415,2015,7995.0
Honda,Odyssey,50553,2021,21900.0
Mercedes-Benz,GLB,56590,2020,19195.0
GMC,Acadia,94203,2017,11995.0
Mercedes-Benz,C-Class,42067,2019,17400.0
Toyota,bZ4X,16913,2023,26759.0
Subaru,Crosstrek,65893,2019,17911.0
BMW,X1,71151,2018,11800.0
Tesla,Model 3,7056,2024,31388.0
Acura,TLX,58793,2022,22495.0
Volkswagen,Passat,3716,2020,13000.0
Jeep,Wrangler,30816,2021,24988.0
Ford,Super Duty F-250,91723,2019,35995.0
Land Rover,Range Rover Sport,62992,2020,24897.0
Ford,Escape,47031,2018,11995.0
Dodge,Durango,57527,2022,19966.0
BMW,2 Series,30148,2024,21988.0
Dodge,Charger,37058,2022,16091.0
Nissan,Versa,120663,2017,4999.0
Chrysler,Pacifica,64806,2022,16900.0
Ford,Explorer,81413,2018,16495.0
Volvo,XC90,18418,2023,40995.0
BMW,X3,60623,2021,18494.0
Mercedes-Benz,GLC,51430,2022,23988.0
Lexus,GS,114016,2016,15991.0
Hyundai,Tucson,41730,2022,17595.0
BMW,3 Series,44783,2021,19890.0
Chrysler,Pacifica,125043,2017,9995.0
Acura,ILX,61946,2018,12995.0
Jeep,Grand Cherokee,59304,2019,16281.0
Chevrolet,Express Cargo Van,80441,2016,13982.0
Chevrolet,Express Cargo Van,100326,2017,12995.0
Buick,Encore,15591,2022,18240.0
Ram,1500,85411,2014,11999.0
Ford,Mustang,24136,2016,16995.0
Volkswagen,Tiguan,52818,2021,14505.0
Ram,1500,107792,2021,18048.0
Mercedes-Benz,GLC,57243,2020,18995.0
Toyota,Tacoma,123261,2016,19995.0
BMW,3 Series,109419,2015,11995.0
Chevrolet,Equinox,94160,2013,6300.0
Honda,Accord,35077,2023,20189.0
Hyundai,Elantra,52976,2020,12060.0
Toyota,Highlander,47459,2021,24720.0
Toyota,Camry,28690,2022,20344.0
Jeep,Grand Cherokee,2698,2024,39995.0
INFINITI,Q50,64686,2020,19495.0
Honda,Civic,32410,2023,19878.0
Nissan,Rogue,27539,2021,20000.0
Kia,Sorento,33822,2022,21988.0
Mitsubishi,Mirage,28350,2022,9982.0
