Brand,Model,Mileage,Year,Price
Volkswagen,Taos,31326,2022,17695.0
Chevrolet,Silverado 1500,293,2023,36999.0
Honda,Civic,67134,2012,11798.0
Mercedes-Benz,GLC,26260,2022,32828.0
BMW,i5,5847,2024,75584.0
Chevrolet,Camaro,12912,2023,24491.0
Audi,A3,59532,2010,9499.0
Nissan,Rogue,25300,2021,21444.0
Jaguar,X-TYPE,89978,2004,5788.0
Porsche,Panamera,78812,2014,22991.0
Ford,Escape,6,2023,25900.0
GMC,Acadia,104741,2019,13900.0
Chevrolet,Malibu,67815,2022,15923.0
Honda,Civic,108903,2003,5895.0
Porsche,Macan,7196,2024,51500.0
BMW,X5,31052,2023,45459.0
Ford,F-150,86984,2019,26499.0
Ford,Fusion,83292,2018,10995.0
Acura,MDX,12714,2023,44450.0
Toyota,Prius Prime,58917,2018,22998.0
Volkswagen,Tiguan,22059,2022,24998.0
Mercedes-Benz,A-Class,27095,2021,23988.0
Ford,F-150,31297,2019,39900.0
Tesla,Model 3,15931,2022,28990.0
BMW,X3,43076,2021,29900.0
Toyota,Camry,22522,2019,26401.0
Subaru,Outback,67685,2022,19999.0
Volkswagen,Atlas,47199,2021,25964.0
Ford,F-150,27424,2023,40275.0
Cadillac,XT4,15345,2020,27999.0
INFINITI,QX55,1253,2024,38900.0
Chevrolet,Tahoe,50472,2023,47965.0
Subaru,WRX,35117,2022,23836.0
GMC,Acadia,55964,2023,24998.0
Chevrolet,Equinox,34389,2024,20888.0
Subaru,Forester,14357,2021,28442.0
Mercedes-Benz,GLB,7983,2024,37888.0
Toyota,RAV4,155726,2021,22999.0
Toyota,RAV4,132142,2019,19962.0
Ram,1500 Classic,14570,2022,30998.0
Honda,Pilot,8048,2025,37991.0
Honda,Accord,120577,2011,8999.0
Mercedes-Benz,EQS Sedan,10326,2022,44986.0
BMW,i5,8738,2024,60070.0
BMW,5 Series,67877,2014,13850.0
Mazda,CX-9,75263,2016,17998.0
Mercedes-Benz,GLC,22973,2020,28988.0
Toyota,Prius,35973,2023,27988.0
BMW,i5,1695,2024,63998.0
Mazda,Mazda6,38795,2017,17247.0
Acura,TL,141101,2006,6467.0
Subaru,Crosstrek,24000,2021,22999.0
Toyota,Grand Highlander,23901,2024,55300.0
Chevrolet,Silverado 2500HD,70155,2021,35998.0
Kia,Niro EV,21409,2019,19700.0
Chrysler,300,91108,2017,15998.0
INFINITI,QX60,6,2024,43800.0
Toyota,Sienna,98985,2017,22360.0
Acura,MDX,51672,2022,36850.0
Cadillac,CT5,57109,2022,25900.0
Cadillac,XT5,51215,2017,20994.0
Chevrolet,Bolt EV,15604,2020,18998.0
BMW,X1,17431,2023,32757.0
Volkswagen,Atlas,46512,2021,24495.0
Lexus,ES,124737,2005,6995.0
Hyundai,Sonata,55138,2019,16998.0
Nissan,Altima,36463,2021,17300.0
Ford,Bronco Sport,67240,2021,19955.0
Volkswagen,Golf,61056,2017,14495.0
Rivian,R1T,45619,2022,54999.0
Volkswagen,Jetta,14518,2019,15695.0
FIAT,500e,39375,2018,9995.0
Land Rover,Range Rover,119844,2016,19988.0
Volkswagen,Passat,110695,2012,7975.0
BMW,X5,35367,2020,36268.0
Dodge,Challenger,67292,2020,19795.0
Honda,Accord,27279,2022,27991.0
BMW,X5,126450,2012,9995.0
Ford,Fusion,42806,2017,14998.0
Chevrolet,Equinox,40900,2023,21998.0
Nissan,Murano,14773,2023,24998.0
Jeep,Grand Cherokee,41253,2020,29998.0
Toyota,Sienna,116361,2018,20998.0
Mercedes-Benz,GLA,24174,2023,28700.0
Chevrolet,Silverado 2500HD,31699,2021,59998.0
Chevrolet,Silverado 1500,570,2023,36999.0
Mercedes-Benz,EQE Sedan,16015,2023,42986.0
Nissan,Ariya,13815,2023,28600.0
BMW,i5,4524,2024,73210.0
Chrysler,Pacifica,50218,2017,18998.0
Audi,S5,35589,2016,24430.0
Honda,Pilot,108402,2017,17788.0
Ford,Escape,24991,2022,17992.0
Porsche,Cayman,25408,2016,42999.0
Cadillac,CT5,14615,2021,33900.0
MINI,Countryman,9885,2024,26888.0
Audi,e-tron S,28033,2023,51999.0
Dodge,Challenger,7981,2016,50999.0
Mazda,CX-5,34816,2023,21999.0
Honda,Civic,19215,2024,27998.0
Honda,Passport,65617,2021,22906.0
Ford,F-150,42325,2021,48998.0
Chevrolet,Malibu,56815,2022,16233.0
Chevrolet,Colorado,10116,2021,34924.0
Nissan,Sentra,68605,2021,14619.0
Honda,Odyssey,47955,2018,27995.0
Tesla,Model Y,39530,2021,28880.0
Honda,CR-V,14556,2024,26688.0
Volkswagen,Tiguan,70566,2022,15995.0
Tesla,Model S,25628,2022,57900.0
BMW,3 Series,58806,2017,16988.0
Audi,S7,35415,2018,42998.0
MINI,Countryman,87464,2012,7588.0
Mazda,CX-9,39801,2022,26986.0
Toyota,RAV4,5921,2022,27691.0
Toyota,Corolla,66248,2021,16955.0
Tesla,Model 3,43281,2021,26698.0
Tesla,Model 3,68070,2020,23998.0
Ford,Transit Cargo Van,47241,2020,32973.0
Toyota,RAV4,46883,2021,24382.0
BMW,i4,3658,2024,61998.0
Subaru,Outback,35091,2022,27475.0
Toyota,Yaris,55907,2017,11499.0
Toyota,Corolla,59200,2022,18998.0
Mercedes-Benz,C-Class,51833,2017,17998.0
Chevrolet,Silverado 1500,95586,2019,22955.0
Ford,Mustang,43858,2010,10488.0
Land Rover,Discovery Sport,71846,2015,12990.0
Tesla,Model S,46843,2021,41299.0
Ford,F-150,135587,2003,6250.0
Chrysler,Pacifica,68426,2022,18955.0
Subaru,Ascent,36319,2022,28577.0
BMW,X2,17326,2022,27063.0
Cadillac,XT4,35190,2022,27895.0
Chrysler,Pacifica,31752,2021,29998.0
Lexus,RX,72254,2019,28142.0
Tesla,Model Y,42803,2021,28991.0
BMW,3 Series,27584,2023,29998.0
Lexus,RZ,1611,2024,42999.0
Ford,Transit Passenger Wagon,20365,2023,53995.0
BMW,X5,41880,2022,49999.0
Mercedes-Benz,GLC,26784,2022,30988.0
Chrysler,Pacifica,59592,2022,22998.0
Honda,Accord,1104,2024,26376.0
Toyota,Camry,31981,2024,24988.0
Audi,Q7,82586,2017,17400.0
Subaru,Crosstrek,34174,2023,24998.0
Mercedes-Benz,EQS SUV,501,2024,100837.0
Chevrolet,Blazer,25493,2022,29999.0
Nissan,Altima,74085,2012,8973.0
Hyundai,Kona Electric,7385,2023,21888.0
Toyota,RAV4,44972,2023,26195.0
Ram,1500,89647,2019,31998.0
Honda,Accord,8793,2024,27991.0
Lincoln,Navigator,37800,2020,44991.0
BMW,X1,32902,2023,25800.0
Chevrolet,Sonic,48678,2013,7973.0
Audi,A5,38669,2019,28998.0
BMW,X5,27114,2022,43909.0
Hyundai,Ioniq,58749,2022,17990.0
Kia,Sorento,60727,2016,19998.0
Volkswagen,Tiguan,46108,2019,18998.0
Toyota,RAV4,61839,2022,23000.0
Honda,HR-V,109041,2017,12871.0
Toyota,Prius,343043,2013,5500.0
Nissan,Ariya,17418,2023,22700.0
Porsche,Cayman,29217,2016,46991.0
Volkswagen,Taos,43768,2023,16995.0
Toyota,bZ4X,8252,2023,28499.0
Land Rover,Range Rover Sport,52081,2018,36973.0
Ford,Explorer,50730,2023,25998.0
BMW,X1,10849,2023,34319.0
Dodge,Grand Caravan,79672,2018,11990.0
Chevrolet,Silverado 1500,57200,2019,29955.0
Toyota,Prius Prime,93118,2017,17991.0
Subaru,Legacy,6544,2024,22997.0
Dodge,Grand Caravan,71447,2016,11975.0
Subaru,Crosstrek,22772,2021,24988.0
Hyundai,Sonata,44205,2023,19990.0
Ford,Escape,10731,2023,22976.0
Mercedes-Benz,C-Class,950,2024,62300.0
Toyota,Tacoma,45875,2022,26895.0
Toyota,Highlander,22542,2024,36988.0
Land Rover,Discovery,48436,2018,21995.0
Subaru,Outback,2784,2024,29887.0
Ford,Focus Electric,39120,2015,11599.0
Toyota,Corolla,64098,2021,17984.0
