Brand,Model,Mileage,Year,Price
Jeep,Grand Cherokee,84182,2019,15995
Chevrolet,Malibu,65620,2022,11790
Tesla,Model Y,51638,2021,22995
Chevrolet,Express Cargo Van,103360,2019,14995
Honda,Accord,22917,2020,18995
BMW,X2,43823,2022,20995
BMW,X3,52019,2022,25499
Honda,HR-V,101763,2019,12995
BMW,3 Series,39636,2021,22995
BMW,3 Series,51476,2021,19990
Jeep,Cherokee,102147,2015,8499
Mercedes-Benz,GLE,48530,2018,42868
Hyundai,Accent,59816,2017,8499
Honda,Odyssey,149846,2016,9498
Dodge,Durango,73984,2020,16988
Mazda,Mazda3,53543,2013,8498
Jeep,Grand Cherokee,38131,2023,22988
Mercedes-Benz,GLE,58089,2020,26795
Nissan,Rogue,105653,2018,10995
Toyota,RAV4,49279,2021,20962
Ford,Explorer,136501,2013,6499
Volkswagen,Jetta,3409,2021,16511
Chevrolet,Equinox,105662,2020,9326
GMC,Terrain,20858,2022,19990
Jeep,Grand Cherokee WK,22328,2022,27900
Hyundai,Elantra,25493,2024,16495
Chevrolet,Silverado 1500,120206,2017,13900
Honda,HR-V,20038,2022,18700
Land Rover,Defender,21573,2023,83900
Acura,MDX,184098,2013,5999
Dodge,Charger,62369,2018,13995
Audi,Q3,29000,2023,23990
Volvo,XC90,26732,2023,37495
Volkswagen,Atlas,70204,2021,15999
Chevrolet,Malibu,113133,2016,8088
Chevrolet,Camaro,111153,2015,9999
Nissan,Murano,58048,2019,12806
Chevrolet,Trailblazer,29218,2021,18795
INFINITI,Q50,27611,2021,22000
Jeep,Grand Cherokee,13956,2021,32200
Nissan,Sentra,104477,2019,7999
Toyota,Highlander,122349,2021,21395
Hyundai,Santa Fe,33742,2023,19495
BMW,3 Series,83119,2013,11436
Chrysler,Pacifica,42833,2021,22995
Hyundai,Santa Fe Sport,113028,2017,8999
Ford,F-150,51843,2021,45995
Chevrolet,Suburban,237365,2015,14888
Hyundai,Elantra,109886,2016,6699
BMW,3 Series,73657,2021,20182
Ferrari,FF,14921,2015,139999
Ford,Bronco Sport,97835,2021,16758
BMW,4 Series,88788,2016,10995
Mercedes-Benz,CLS,35475,2022,49900
Kia,Optima,73280,2013,7995
Ford,Escape,69606,2015,9232
Ford,Explorer,106322,2013,8995
Honda,Pilot,97876,2017,15995
Jeep,Compass,76532,2018,11995
Dodge,Durango,39763,2021,26895
Bentley,Bentayga,8197,2023,204995
Mercedes-Benz,GLC,91970,2016,13298
BMW,X3,78756,2020,18947
Mercedes-Benz,GLE,50165,2021,30489
BMW,X1,73772,2020,16981
BMW,7 Series,15802,2023,83581
Ford,Fusion,88510,2014,7999
Jeep,Compass,23831,2023,20495
Chevrolet,Express Commercial Cutaway,92201,2017,12995
Mercedes-Benz,GLS,69048,2020,32995
Audi,Q7,56018,2022,25900
Nissan,Sentra,5525,2024,16888
Jeep,Grand Cherokee WK,59248,2021,18784
Hyundai,Elantra,36095,2022,16968
Hyundai,Tucson,3292,2024,30000
Nissan,Altima,58325,2022,12990
Mercedes-Benz,GLA,61586,2021,21450
Chrysler,Pacifica,10,2024,41500
Mercedes-Benz,C-Class,5281,2024,42595
Hyundai,Sonata,127701,2017,5999
Kia,Sorento,59146,2017,9999
Volkswagen,Atlas,15209,2021,26311
BMW,5 Series,9462,2024,48888
Toyota,RAV4,24441,2021,23387
Dodge,Durango,85337,2015,13985
Audi,SQ5,51515,2021,31875
Acura,MDX,52859,2022,30800
Jeep,Grand Cherokee,5694,2024,36544
Ford,Escape,101769,2017,8550
Volkswagen,Atlas,34443,2022,27111
Chevrolet,Equinox,6754,2022,20990
BMW,X4,74896,2017,12988
Maserati,Quattroporte,13222,2017,28885
Mercedes-Benz,GLC,27049,2020,29500
Chrysler,Pacifica,15708,2023,26995
Chevrolet,Malibu,62039,2022,12888
BMW,3 Series,30825,2022,26050
Ford,Transit Connect Van,118109,2017,8875
Jeep,Grand Cherokee,119829,2015,10995
Ford,Expedition,80720,2019,22695
BMW,X1,78604,2017,12995
Subaru,Forester,87718,2017,11580
Ram,1500,150804,2016,9990
Buick,Encore,29148,2021,16240
Jeep,Grand Cherokee WK,33897,2021,27888
Ram,ProMaster Cargo Van,78880,2019,19500
Acura,MDX,45367,2022,27800
BMW,3 Series,77260,2021,25692
Volvo,XC90,10461,2023,47195
Audi,Q3,56675,2021,15887
Honda,Accord,104613,2014,9999
Nissan,Rogue,73445,2016,9989
Ford,Transit Connect Van,93128,2016,10995
Toyota,RAV4,29175,2022,24498
BMW,X5,25069,2022,41500
Mercedes-Benz,GLE,47299,2018,42590
Chrysler,300,65004,2014,9998
Mercedes-Benz,GLC,71933,2019,16990
GMC,Terrain,95355,2021,14650
Subaru,BRZ,27823,2013,15910
Tesla,Model Y,57740,2021,22795
Honda,CR-V,42816,2022,20900
BMW,3 Series,62672,2021,30900
Toyota,RAV4,39621,2022,20900
Honda,Accord,107319,2015,9352
GMC,Acadia,221307,2017,7995
Jeep,Grand Cherokee WK,40127,2021,23700
Kia,Optima,95500,2013,5999
Dodge,Challenger,43333,2022,19995
Toyota,RAV4,66779,2018,16850
Volkswagen,Tiguan,28600,2021,19611
Toyota,Corolla,57869,2019,13005
Jeep,Wrangler,50058,2021,21495
Honda,Civic,39068,2022,19580
Land Rover,Range Rover Velar,35204,2021,26290
Audi,Q5,6770,2024,39000
Mercedes-Benz,EQS Sedan,14875,2022,69900
Ford,Transit Connect Van,154991,2017,7995
Audi,Q8,38086,2019,36995
Nissan,Rogue,40379,2021,19750
Land Rover,Range Rover,99800,2014,24735
Nissan,Altima,147282,2015,4990
BMW,X3,54772,2023,24900
Ford,Bronco Sport,105922,2021,17995
Audi,Q3,1871,2024,36195
Mercedes-Benz,GLC,54177,2021,22995
Volvo,XC90,13010,2023,46475
Chevrolet,Equinox,22952,2022,20990
Mercedes-Benz,GLE,75493,2019,18795
BMW,X3,38867,2022,30500
Ford,Edge,61724,2022,15890
Acura,Integra,32968,2023,20982
Toyota,Highlander,100531,2021,26995
Toyota,Tundra,83469,2012,15999
